example_id,customer_message,intent,conversation_id,brand_reply
EX_CASE_849,@SpotifyCares doesn’t work and i even tried deleting the app,other,849,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt
EX_CASE_864,@SpotifyCares ok thx,other,864,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS"
EX_CASE_1872,@SpotifyCares 1.0.65.320.gac7a8e02,other,1872,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB"
EX_CASE_2853,"@SpotifyCares Thanks for the quick reply! I got it to work after un/reinstalling a few times, but I’m on MacOS High Sierra. Looks like version 1.0.68.407.g6864aaaf? I’m not sure what the initial problem was, but again, it’s working now.",other,2853,"@116379 Awesome! If you ever need anything else, just shout and we'll come running 🏃 /DF"
EX_CASE_2868,@SpotifyCares I doubt it :/ but thank you for replying!,other,2868,"@116384 You're welcome. Not to worry, we'll pass on your feedback to the right team. If you ever need us again, just say the word. We're always here for you /MT"
EX_CASE_850,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,subscription_issue,850,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS
EX_CASE_857,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",subscription_issue,857,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS
EX_CASE_27676,@SpotifyCares So why let non premium customers even select them.? Pointless.,subscription_issue,27676,"@122049 Rest assured, your feedback has been passed on to the right team to look into. Give us a shout if you have any other questions /ZO"
EX_CASE_44425,"@SpotifyCares Hello, I've tried to tell my problem from the website https://t.co/CjnbQxnYv1 but until now I can't get my premium account back, I still can't logged in to my account :( @115888 @118266 @SpotifyCares",subscription_issue,44425,@125858 Thanks for the info. Can you DM us your account's email address? We'll take a look  backstage and see what we can suggest /NY https://t.co/ldFdZRiNAt
EX_CASE_53684,@SpotifyCares The past 2 days. Laptop. Spotify Premium. Newest desktop update.,subscription_issue,53684,@128140 2: You can find this info by going into Help &gt; About Spotify. We hope that hear from you soon with this info! /CB
EX_CASE_853,@SpotifyCares iphone 7+ and i have the most recent update for spotify,app_bug,853,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB"
EX_CASE_1869,"@SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!",app_bug,1869,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB"
