example_id,customer_message,intent,expected_action,escalation_reason,difficulty,label_source,source_case_id
GOLD_0,"@SpotifyCares Thank you. But does that move an account., or just delete it along with the history and playlists etc?",account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_1691143
GOLD_1,@SpotifyCares I deleted my facebook account which was linked to my Spotify account. I can't log anymore into Spotify :( Any help/tips ? Thanks,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_2463178
GOLD_2,@115888 How can I contact you? Someone is trying to hack into my account.,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_1892895
GOLD_3,@SpotifyCares Skip Hiatt- __email__,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_2603586
GOLD_4,@SpotifyCares But they didn't get into my account. They just clicked th forgot password button. Still suspicious and they should be banned from your service.,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_2876124
GOLD_5,@115888 @SpotifyCares hey I’m having difficulty updating my account in app. Do I have to access that on a browser?,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_431731
GOLD_6,"I'm quite fed up with this response @115888 ""the language of the emails we send is based on your account's country"". You've had YEARS.",account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_23256
GOLD_7,@115888 I have a problem with my account,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_1872429
GOLD_8,"@115888 hi, is there any setting so that when a device is playing music and then a 2nd/ 3rd device etc, don't interrupt each other? All on the same account",account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_2364800
GOLD_9,"@115888 It was happening when I tried to log in on the app, but after three time of uninstalling and reinstalling, it worked. Sorry to bother you. Thank you for your time! 🙂",account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_2158551
GOLD_10,I have tried to reset my password but never receive the email. Please help!! And YES I have checked junk folders! @SpotifyCares,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_1909105
GOLD_11,@115888 Hey Spotify my password was reset by you guys but your password reset page isn’t working! It gives a CSRF invalid token error! Please help!,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_95830
GOLD_12,@SpotifyCares i made a new account and the username showed up as a random jumble of letters?? why is that?,account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_1426056
GOLD_13,"@SpotifyCares Trying to create an account, but when I submit, I just get a spinner. Tried incognito and other browsers, emails and devices.",account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_649981
GOLD_14,@SpotifyCares I cant log in. For some reason this morning I was logged off my phone and laptop. Cant log in. I get an error 404 on my phone and error 1003 on my laptop. I am a subscribed member as well.,account_access,Resolve based on account_access,,difficult,keyword_heuristic,CASE_496144
GOLD_15,"@spotifycares what can i do to ensure that i get a year in music email this year, please tell me - you have one more shot this year at keeping my business",account_access,Resolve based on account_access,,normal,keyword_heuristic,CASE_585123
