case_id,customer_message,predicted_intent,generated_reply,human_relevance,human_groundedness,human_resolution_match,human_actionability,human_safety,human_overall_score,human_notes
CASE_1168549,"@SpotifyCares hi, I can't play Paul McCartney songs on desktop or phone but I can through Sonos using same account. Any ideas?",playback_issue,"Thank you for reaching out. Based on the information provided, this request needs to be reviewed by a support specialist who can access your account details. Reason: Multiple independent support issues detected; human review recommended. Low classifier confidence (0.49) below threshold (0.6).",,,,,,,
CASE_2158619,"@SpotifyCares I have the student discount for spotify premium and I got charged double this month and my hulu stopped working, what can I do to fix it???",billing_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2363320,@SpotifyCares Pass a P45 or whatever the equivalent is onto them and hire folks that can get a damn update out on time #raging,app_bug,"Thank you for reaching out. Based on the information provided, this request needs to be reviewed by a support specialist who can access your account details. Reason: Low classifier confidence (0.54) below threshold (0.6).",,,,,,,
CASE_113839,@SpotifyCares yes I already did that before I asked my initial question (about importing smart playlists).,playback_issue,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1340968,@SpotifyCares UK,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1574544,@SpotifyCares Thank you for that.. But we will wait Day6 ✨ @18284,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_292972,@SpotifyCares you just added this album but it’s not a 2017 release https://t.co/4v2KKxAOpu,feature_inquiry,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1217118,@SpotifyCares  https://t.co/kFCBiwLBYq,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_1131954,@SpotifyCares Nope. I've tried,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
CASE_2920725,Spotify down? #Spotify :O :O  :O  :O  :O  :O  :O  :O  :O  :O  :O  :O  :O  :O  :O @115888 https://t.co/gAKJKKcpPB,other,"Thank you for contacting support. I would like to help, but I need a little more information to assist you properly. Could you please confirm the details of your request?",,,,,,,
