example_id,customer_message,intent,expected_action,escalation_reason,difficulty,label_source,source_case_id,review_status,reviewer_notes
GOLD_14,@SpotifyCares I cant log in. For some reason this morning I was logged off my phone and laptop. Cant log in. I get an error 404 on my phone and error 1003 on my laptop. I am a subscribed member as well.,account_access,Resolve based on account_access,,difficult,keyword_heuristic,CASE_496144,pending,
GOLD_32,"@SpotifyCares It did not change anything. I believe there was an update last week? I forget. I tried changing storage to internal, says that something may be wrong with my SD card, but, it seems to work with everything else just fine.",app_bug,Resolve based on app_bug,,difficult,keyword_heuristic,CASE_2110166,pending,
GOLD_40,"@SpotifyCares I contributed to an abandoned thread on your forums about it with more detail. https://t.co/VMz5LcGtgb iPhone 7 with latest stable iOS, and 2014 iMac with latest stable macOS. Always install software updates right away, too.",app_bug,Resolve based on app_bug,,difficult,keyword_heuristic,CASE_2565921,pending,
GOLD_60,@SpotifyCares hello. trying on Firefox and via app on android to activate 3 month premium trial using PayPal... just loops back to start and asks me again to proceed to payment when I've already confirmed on PayPal suite.,billing_issue,Resolve based on billing_issue,,difficult,keyword_heuristic,CASE_645103,pending,
GOLD_61,"@spotifycares Please help. I'm being charged twice a month, but only have one account. How can I locate the second account that's charging to my visa? I've tried suggestions on your help page and am stumped.",billing_issue,Resolve based on billing_issue,,difficult,keyword_heuristic,CASE_2708590,pending,
GOLD_71,"@SpotifyCares because a kick drum or bass line imposing a limit that affects the vocal frequencies is horrible to listen to. As a premium user I don't really like paying for a poor level of sound quality. Normalise volume makes it worse, obviously. An EQ is massively needed too https://t.co/Rg2w2BTxPa",billing_issue,Resolve based on billing_issue,,difficult,keyword_heuristic,CASE_910871,pending,
GOLD_85,"@SpotifyCares ...I'm just one guy with an iPhone 4 but if you go look at your stats of users who installed on iPhone 4, how many of them had paying subscriptions which ended once they learned the app no longer works? Its bad practice imo, you should never be too big too care about customers.",billing_issue,Resolve based on billing_issue,,difficult,keyword_heuristic,CASE_1959330,pending,
GOLD_104,"@SpotifyCares Fingers crossed for sure. It's some pretty obscure content, honestly. You have most of the artists, but certain albums are missing. The Explorers score by Jerry Goldsmith, for example. Here's a full list. A lot is missing from the catalog https://t.co/MZO4SJCzw1",feature_inquiry,Resolve based on feature_inquiry,,difficult,keyword_heuristic,CASE_2404024,pending,
GOLD_110,"I really wish @115888 had a feature that prevented what I listen to when sleeping from affecting my Discover Weekly, Release Radar, Daily Mixes, etc. 

I like a good ambient song as much as the next sleep-seeking person, but not that much.",feature_inquiry,Resolve based on feature_inquiry,,difficult,keyword_heuristic,CASE_2714216,pending,
GOLD_136,@SpotifyCares I tried to fill out that form and it kept rejecting the information I included. I have no idea why. I’ve given you both the artist page and the nature of the problem. Why isn’t that enough?!,other,Resolve based on other,,difficult,keyword_heuristic,CASE_2110151,pending,
GOLD_145,"@SpotifyCares Yeah I know... why do you guys have that limit ?? I love music and listen to tons and reached the limit the other day and now I’m not sure what to do... is there any way to save more than 10,000 songs ??",other,Resolve based on other,,difficult,keyword_heuristic,CASE_2110112,pending,
GOLD_150,@SpotifyCares why does my sister have a section where she can see what she has downloaded but I don’t have the same feature? It would be a nice thing to have and I don’t understand why only certain people get that,playback_issue,Resolve based on playback_issue,,difficult,keyword_heuristic,CASE_2377285,pending,
GOLD_151,"@115888 @117168 @SpotifyCares very much enjoy the Discover Weekly feature, but think it could be much improved if users had option to remove/👎 songs they don't like, which could then inform future weeks' playlists (fewer songs from those artists, etc)",playback_issue,Resolve based on playback_issue,,difficult,keyword_heuristic,CASE_2442014,pending,
GOLD_157,"@SpotifyCares Hi there, the Spotify app has stopped working for me, giving me an error message. I’ve restarted my phone. Closed and opened the app. Restarted my internet. Tried on 4G. To no avail. Looks like the web player is affected too. Any ideas what’s happening?",playback_issue,Resolve based on playback_issue,,difficult,keyword_heuristic,CASE_2917902,pending,
GOLD_162,"Hi, @115888 folks. Hope you are having a lovely morning. Can we get a ""Add to Playlists"" (plural) option so we don't have to close the menu each time and redo each add individually? Pretty please and thank you. 🙏🏽",playback_issue,Resolve based on playback_issue,,difficult,keyword_heuristic,CASE_2776190,pending,
GOLD_186,@115888 Is it possible for people to steal service for family premium? I just looked at my account and had 5 people in my family that I've never heard of. They've probably been using my account for a while now and I just realized it. I've taken down their emails. :(,subscription_issue,Resolve based on subscription_issue,,difficult,keyword_heuristic,CASE_408932,pending,
GOLD_188,"@115888 @116130 ads are playing back considerably louder than music even with normalise enabled - it's an unpleasant shock every time and fills me with resentment for the brand, not the desire to upgrade to premium. It's also damaging to hearing. Please fix.",subscription_issue,Resolve based on subscription_issue,,difficult,keyword_heuristic,CASE_177415,pending,
GOLD_202,"@SpotifyCares I have Spotify premium and have playlists downloaded but when using bus WiFi none of my downloaded playlists show up and it won’t connect, even though the WiFi is working fine https://t.co/rXZS7xsCZ2",subscription_issue,Resolve based on subscription_issue,,difficult,keyword_heuristic,CASE_124148,pending,
GOLD_205,@115888 @SpotifyCares Is it possible to deactivate my premium account and create a new account and 'redeem' my premium status?This is due to having problems with the street name and number feature in prenium for family.,subscription_issue,Resolve based on subscription_issue,,difficult,keyword_heuristic,CASE_2275415,pending,
GOLD_207,@SpotifyCares I have a spotify subscription but it was set up a long time ago with my email that isn't associated with my University email. I wanted to see if I could change my email to my universities email so I can get the Student discount which includes Hulu. Is this possible?,subscription_issue,Resolve based on subscription_issue,,difficult,keyword_heuristic,CASE_2364834,pending,
